dive,time_UTC,dateTime_UTC,latitude,longitude,label
1,739509.760081019,14-Sep-2024 18:14:31,44.555795,-124.74956,start
1,739509.778136574,14-Sep-2024 18:40:31,44.5520833333333,-124.749516666667,stop
2,739509.811655093,14-Sep-2024 19:28:47,44.54248,-124.752995,start
2,739509.830659722,14-Sep-2024 19:56:09,44.5391333333333,-124.75615,stop
3,739509.833472222,14-Sep-2024 20:00:12,44.538355,-124.756575,start
3,739509.85275463,14-Sep-2024 20:27:58,44.5358333333333,-124.761133333333,stop
4,739509.858900463,14-Sep-2024 20:36:49,44.5338383333333,-124.761376666667,start
4,739509.88880787,14-Sep-2024 21:19:53,44.5326,-124.76965,stop
5,739509.901678241,14-Sep-2024 21:38:25,44.52885,-124.772818333333,start
5,739509.938206019,14-Sep-2024 22:31:01,44.5316166666667,-124.780483333333,stop
6,739509.942569444,14-Sep-2024 22:37:18,44.5307616666667,-124.781608333333,start
6,739509.998113426,14-Sep-2024 23:57:17,44.53575,-124.790033333333,stop
7,739510.001574074,15-Sep-2024 00:02:16,44.535335,-124.79025,start
7,739510.056261574,15-Sep-2024 01:21:01,44.5406666666667,-124.798666666667,stop
8,739510.059768519,15-Sep-2024 01:26:04,44.540055,-124.799023333333,start
8,739510.127719907,15-Sep-2024 03:03:55,44.5396,-124.814683333333,stop
9,739510.13087963,15-Sep-2024 03:08:28,44.5389,-124.814843333333,start
9,739510.198842593,15-Sep-2024 04:46:20,44.5413166666667,-124.830283333333,stop
10,739510.202037037,15-Sep-2024 04:50:56,44.5404616666667,-124.830355,start
10,739510.270011574,15-Sep-2024 06:28:49,44.5395833333333,-124.845733333333,stop
11,739510.273078704,15-Sep-2024 06:33:14,44.5385166666667,-124.845605,start
11,739510.329525463,15-Sep-2024 07:54:31,44.5358833333333,-124.860883333333,stop
12,739510.332638889,15-Sep-2024 07:59:00,44.534985,-124.860871666667,start
12,739510.388900463,15-Sep-2024 09:20:01,44.53425,-124.87705,stop
13,739510.391851852,15-Sep-2024 09:24:16,44.5333666666667,-124.877588333333,start
13,739510.447928241,15-Sep-2024 10:45:01,44.5329,-124.89445,stop
14,739510.451377315,15-Sep-2024 10:49:59,44.5321133333333,-124.894743333333,start
14,739510.525011574,15-Sep-2024 12:36:01,44.52785,-124.91635,stop
15,739510.528414352,15-Sep-2024 12:40:55,44.5273033333333,-124.917008333333,start
15,739510.604178241,15-Sep-2024 14:30:01,44.5248833333333,-124.934216666667,stop
16,739510.607384259,15-Sep-2024 14:34:38,44.524675,-124.934033333333,start
16,739510.733622685,15-Sep-2024 17:36:25,44.5153166666667,-124.956266666667,stop
17,739510.737604167,15-Sep-2024 17:42:09,44.5149083333333,-124.95612,start
17,739510.863263889,15-Sep-2024 20:43:06,44.5039166666667,-124.982766666667,stop
18,739510.86712963,15-Sep-2024 20:48:40,44.5035233333333,-124.983838333333,start
18,739511.021701389,16-Sep-2024 00:31:15,44.4858833333333,-125.019533333333,stop
19,739511.027025463,16-Sep-2024 00:38:55,44.48536,-125.019385,start
19,739511.179259259,16-Sep-2024 04:18:08,44.4785,-125.050383333333,stop
20,739511.18494213,16-Sep-2024 04:26:19,44.477335,-125.050683333333,start
20,739511.368888889,16-Sep-2024 08:51:12,44.4672,-125.09015,stop
21,739511.373668981,16-Sep-2024 08:58:05,44.4670166666667,-125.091341666667,start
21,739511.560509259,16-Sep-2024 13:27:08,44.4469666666667,-125.139533333333,stop
22,739511.565289352,16-Sep-2024 13:34:01,44.4472416666667,-125.13903,start
22,739511.751516204,16-Sep-2024 18:02:11,44.4415833333333,-125.1802,stop
23,739511.756157407,16-Sep-2024 18:08:52,44.4417316666667,-125.179785,start
23,739511.935462963,16-Sep-2024 22:27:04,44.42255,-125.227733333333,stop
24,739511.939699074,16-Sep-2024 22:33:10,44.4222566666667,-125.228011666667,start
24,739512.11630787,17-Sep-2024 02:47:29,44.4057833333333,-125.271616666667,stop
25,739512.120856481,17-Sep-2024 02:54:02,44.4057216666667,-125.271711666667,start
25,739512.30025463,17-Sep-2024 07:12:22,44.3977666666667,-125.312983333333,stop
26,739512.304930556,17-Sep-2024 07:19:06,44.3979166666667,-125.312353333333,start
26,739512.484849537,17-Sep-2024 11:38:11,44.3929833333333,-125.357933333333,stop
27,739512.489849537,17-Sep-2024 11:45:23,44.3927733333333,-125.356315,start
27,739512.669560185,17-Sep-2024 16:04:10,44.3724,-125.3917,stop
28,739512.674537037,17-Sep-2024 16:11:20,44.3717616666667,-125.38999,start
28,739512.903599537,17-Sep-2024 21:41:11,44.35625,-125.433833333333,stop
29,739512.908680556,17-Sep-2024 21:48:30,44.3565016666667,-125.432763333333,start
29,739513.139236111,18-Sep-2024 03:20:30,44.3239166666667,-125.46555,stop
30,739513.144675926,18-Sep-2024 03:28:20,44.3235916666667,-125.463281666667,start
30,739513.373043981,18-Sep-2024 08:57:11,44.3126,-125.500033333333,stop
31,739513.378125,18-Sep-2024 09:04:30,44.312435,-125.498616666667,start
31,739513.609421296,18-Sep-2024 14:37:34,44.2928666666667,-125.5352,stop
32,739513.614016204,18-Sep-2024 14:44:11,44.2920566666667,-125.534065,start
32,739513.840405093,18-Sep-2024 20:10:11,44.2874333333333,-125.56705,stop
