latitude,longitude,dist_km,waypoint
44.5594283333333,-124.750351666667,0,AN01
44.5426148790427,-124.810931091559,5.16352733432918,
44.5257694217072,-124.87147550236,5.16351207121825,
44.5088919986408,-124.931984873429,5.16349677931832,
44.4919826471737,-124.992459179373,5.16348145867835,
44.4750414046526,-125.052898395051,5.16346610932657,
44.4580683084397,-125.113302495572,5.16345073131665,
44.4410633959132,-125.173671456295,5.16343532467946,
44.4240267044663,-125.234005252826,5.16341988945953,
44.4069582715075,-125.29430386102,5.16340442569904,
44.3898581344597,-125.354567256982,5.16338893343688,
44.3727263307605,-125.414795417061,5.16337341271315,
44.3555628978618,-125.474988317856,5.16335786357029,
44.338367873229,-125.535145936211,5.16334228605016,
44.3211412943414,-125.595268249216,5.1633266801913,
44.3038831986916,-125.655355234208,5.16331104603801,
44.2865936237851,-125.715406868768,5.16329538362836,
44.2692726071403,-125.775423130722,5.163279693008,
44.251920186288,-125.83540399814,5.16326397421638,
44.2345363987714,-125.895349449336,5.16324822728908,
44.2171212821453,-125.955259462865,5.16323245228074,
44.1996748739764,-126.015134017529,5.16321664921986,
44.1821972118427,-126.074973092368,5.16320081815746,
44.1646883333333,-126.134776666667,5.16318495912994,AN02
44.139359838198,-126.078671055662,5.29787433513897,
44.1140039089314,-126.022613586502,5.29785075854376,
44.0886205933373,-125.966604227282,5.29782715725877,
44.0632099391675,-125.910642945912,5.29780353135316,
44.0377719941216,-125.854729710126,5.29777988088869,
44.0123068058471,-125.798864487478,5.29775620593429,
43.9868144219391,-125.743047245347,5.29773250655494,
43.9612948899403,-125.687277950932,5.29770878281326,
43.9357482573406,-125.631556571261,5.29768503478137,
43.9101745715773,-125.575883073186,5.29766126252034,
43.8845738800349,-125.520257423386,5.29763746609707,
43.8589462300447,-125.464679588368,5.29761364557874,
43.833291668885,-125.409149534469,5.29758980102991,
43.8076102437809,-125.353667227858,5.29756593252125,
43.781902001904,-125.298232634531,5.2975420401152,
43.7561669903725,-125.242845720322,5.29751812387836,
43.7304052562509,-125.187506450894,5.29749418387365,
43.7046168465502,-125.132214791747,5.29747022017912,
43.6788018082272,-125.076970708217,5.29744623284827,
43.652960188185,-125.021774165476,5.29742222195606,
43.6270920332725,-124.966625128533,5.29739818756418,
43.6011973902845,-124.911523562238,5.29737412974639,
43.5752763059615,-124.856469431279,5.29735004855969,
43.5493288269895,-124.801462700187,5.29732594407974,
43.523355,-124.746503333333,5.2973018163666,AN03
43.4989367831342,-124.80151829271,5.21057627636268,
43.4744922113832,-124.856488748549,5.21055394462414,
43.4500213285603,-124.911414726948,5.21053158998849,
43.4255241784359,-124.966296254168,5.21050921250552,
43.4010008047373,-125.021133356638,5.21048681224798,
43.3764512511486,-125.075926060952,5.21046438926637,
43.3518755613104,-125.130674393864,5.21044194362415,
43.3272737788202,-125.185378382295,5.21041947538117,
43.3026459472315,-125.240038053325,5.21039698459832,
43.2779921100542,-125.294653434194,5.21037447133667,
43.2533123107546,-125.349224552304,5.21035193565586,
43.2286065927545,-125.403751435216,5.21032937761773,
43.2038749994322,-125.458234110646,5.2103067972787,
43.1791175741215,-125.51267260647,5.21028419470444,
43.1543343601117,-125.56706695072,5.21026156995559,
43.129525400648,-125.621417171581,5.21023892308767,
43.1046907389309,-125.675723297394,5.21021625416699,
43.0798304181161,-125.729985356655,5.21019356325291,
43.0549444813148,-125.78420337801,5.21017085040492,
43.0300329715929,-125.838377390257,5.21014811568637,
43.0050959319717,-125.892507422345,5.21012535915567,
42.980133405427,-125.946593503375,5.2101025808752,
42.9551454348897,-126.000635662595,5.21007978090853,
42.9301320632452,-126.054633929399,5.21005695931343,
42.9050933333333,-126.108588333333,5.21003411615293,AN04
42.8818336714492,-126.053160034886,5.21294108855997,
42.8585472921344,-125.997773537537,5.21291983752441,
42.8352342372932,-125.942428823598,5.21289856354224,
42.8118945487969,-125.887125875209,5.21287726667414,
42.7885282684839,-125.831864674336,5.21285594697459,
42.7651354381592,-125.776645202773,5.21283460450311,
42.7417160995946,-125.721467442142,5.2128132393186,
42.7182702945283,-125.666331373897,5.21279185147424,
42.6947980646649,-125.611236979318,5.21277044102995,
42.6712994516751,-125.556184239521,5.21274900804593,
42.6477744971957,-125.501173135451,5.21272755257308,
42.6242232428295,-125.446203647886,5.21270607467645,
42.6006457301449,-125.391275757438,5.21268457440989,
42.5770420006761,-125.336389444553,5.21266305183196,
42.5534120959227,-125.281544689514,5.21264150700031,
42.5297560573496,-125.226741472437,5.21261993997234,
42.5060739263869,-125.171979773278,5.21259835080844,
42.4823657444299,-125.117259571829,5.21257673956301,
42.4586315528388,-125.06258084772,5.21255510629892,
42.4348713929385,-125.007943580421,5.21253345106899,
42.4110853060186,-124.953347749242,5.21251177393877,
42.3872733333333,-124.898793333333,5.21249007495439,AN05
42.357605537769,-124.947664393603,5.20226088488232,
42.3279170078424,-124.996489314026,5.20223387884094,
42.2982077846744,-125.045268153971,5.20220685678457,
42.2684779093149,-125.094000972836,5.20217981879239,
42.2387274227424,-125.142687830052,5.20215276493617,
42.2089563658645,-125.191328785083,5.20212569528611,
42.1791647795176,-125.239923897419,5.20209860991556,
42.1493527044672,-125.288473226586,5.20207150889878,
42.1195201814077,-125.336976832134,5.20204439230493,
42.0896672509628,-125.385434773644,5.20201726021258,
42.0597939536852,-125.433847110725,5.20199011268416,
42.0299003300569,-125.482213903011,5.20196294980412,
41.999986420489,-125.530535210165,5.20193577163468,
41.9700522653221,-125.578811091874,5.201908578257,
41.940097904826,-125.627041607851,5.20188136973732,
