latitude,longitude,dist_km,waypoint,date_time_PDT
42.48236574,-125.1172596,5.21257674,,10/7/2024 2:20
42.45863155,-125.0625808,5.212555106,,10/7/2024 9:00
42.43487139,-125.0079436,5.212533451,,10/7/2024 15:40
42.41108531,-124.9533477,5.212511774,,10/7/2024 22:20
42.38727333,-124.8987933,5.212490075,AN05,10/8/2024 5:00
42.35760554,-124.9476644,5.202260885,,10/8/2024 11:40
42.32791701,-124.9964893,5.202233879,,10/8/2024 18:20
42.29820778,-125.0452682,5.202206857,,10/9/2024 1:00
42.26847791,-125.094001,5.202179819,,10/9/2024 7:40
42.23872742,-125.1426878,5.202152765,,10/9/2024 14:20
42.20895637,-125.1913288,5.202125695,,10/9/2024 21:00
42.17916478,-125.2399239,5.20209861,,10/10/2024 3:40
42.1493527,-125.2884732,5.202071509,,10/10/2024 10:20
42.11952018,-125.3369768,5.202044392,,10/10/2024 17:00
42.08966725,-125.3854348,5.20201726,,10/10/2024 23:40
42.05979395,-125.4338471,5.201990113,,10/11/2024 6:20
42.02990033,-125.4822139,5.20196295,,10/11/2024 13:00
41.99998642,-125.5305352,5.201935772,,10/11/2024 19:40
41.97005227,-125.5788111,5.201908578,,10/12/2024 2:20
41.9400979,-125.6270416,5.20188137,,10/12/2024 9:00
41.91012338,-125.6752268,5.201854146,,10/12/2024 15:40
41.88012873,-125.7233668,5.201826908,,10/12/2024 22:20
41.85011399,-125.7714616,5.201799654,,10/13/2024 5:00
41.82007921,-125.8195112,5.201772386,,10/13/2024 11:40
41.79002443,-125.8675158,5.201745103,,10/13/2024 18:20
41.75994968,-125.9154754,5.201717805,,10/14/2024 1:00
41.729855,-125.96339,5.201690492,AN06,10/14/2024 7:40
41.70689181,-125.9089877,5.196102496,,10/14/2024 14:20
41.68390299,-125.8546242,5.196081669,,10/14/2024 21:00
41.66088856,-125.8002996,5.196060821,,10/15/2024 3:40
41.63784858,-125.7460138,5.196039951,,10/15/2024 10:20
41.61478307,-125.6917669,5.19601906,,10/15/2024 17:00
41.59169208,-125.6375587,5.195998149,,10/15/2024 23:40
41.56857565,-125.5833894,5.195977217,,10/16/2024 6:20
41.54543381,-125.5292588,5.195956263,,10/16/2024 13:00
41.5222666,-125.475167,5.195935289,,10/16/2024 19:40
41.49907407,-125.4211139,5.195914294,,10/17/2024 2:20
41.47585625,-125.3670995,5.195893279,,10/17/2024 9:00
41.45261318,-125.3131238,5.195872242,,10/17/2024 15:40
41.4293449,-125.2591869,5.195851186,,10/17/2024 22:20
41.40605144,-125.2052886,5.195830108,,10/18/2024 5:00
41.38273285,-125.1514289,5.195809011,,10/18/2024 11:40
41.35938917,-125.0976079,5.195787892,,10/18/2024 18:20
41.33602043,-125.0438255,5.195766754,,10/19/2024 1:00
41.31262667,-124.9900817,5.195745595,AN07,10/19/2024 7:40
41.30887569,-124.9229286,5.638722132,,10/19/2024 14:20
41.30508569,-124.8557834,5.638718431,,10/19/2024 21:00
41.30125668,-124.788646,5.638714691,,10/20/2024 3:40
41.29738867,-124.7215165,5.638710913,,10/20/2024 10:20
41.29348167,-124.654395,5.638707097,AN08,10/20/2024 17:00
41.2547797,-124.6974228,5.609942361,,10/20/2024 23:40
41.21606173,-124.7403997,5.609904537,,10/21/2024 6:20
41.17732781,-124.7833257,5.609866703,,10/21/2024 13:00
41.13857797,-124.826201,5.609828862,,10/21/2024 19:40
41.09981225,-124.8690256,5.609791012,,10/22/2024 2:20
41.06103069,-124.9117997,5.609753155,,10/22/2024 9:00
41.02223333,-124.9545233,5.609715289,AN09,10/22/2024 15:40
40.9943411,-124.9015691,5.425831515,,10/22/2024 22:20
40.96642465,-124.8486597,5.425805186,,10/23/2024 5:00
40.93848404,-124.795795,5.425778838,,10/23/2024 11:40
40.9105193,-124.7429751,5.425752471,,10/23/2024 18:20
40.88253048,-124.6901998,5.425726085,,10/24/2024 1:00
40.85451763,-124.6374692,5.425699681,,10/24/2024 7:40
40.82648079,-124.5847831,5.425673257,,10/24/2024 14:20
40.79842,-124.5321417,5.425646815,RECV,10/24/2024 21:00
