latitude,longitude,dist_km,waypoint,date_time_PDT
42.17321271,-125.7171442,5.211983635,,10/7/2024 3:20
42.15208409,-125.6608312,5.211964403,,10/7/2024 10:00
42.13092795,-125.6045558,5.211945146,,10/7/2024 16:40
42.10974433,-125.5483181,5.211925867,,10/7/2024 23:20
42.08853327,-125.4921179,5.211906564,,10/8/2024 6:00
42.06729481,-125.4359553,5.211887237,,10/8/2024 12:40
42.04602899,-125.3798304,5.211867887,,10/8/2024 19:20
42.02473584,-125.323743,5.211848514,,10/9/2024 2:00
42.00341541,-125.2676932,5.211829118,,10/9/2024 8:40
41.98206773,-125.2116809,5.211809698,,10/9/2024 15:20
41.96069283,-125.1557062,5.211790256,,10/9/2024 22:00
41.93929077,-125.0997691,5.21177079,,10/10/2024 4:40
41.91786158,-125.0438696,5.211751301,,10/10/2024 11:20
41.8964053,-124.9880076,5.211731789,,10/10/2024 18:00
41.87492196,-124.9321831,5.211712254,,10/11/2024 0:40
41.8534116,-124.8763962,5.211692697,,10/11/2024 7:20
41.83187427,-124.8206469,5.211673116,,10/11/2024 14:00
41.81031,-124.764935,5.211653513,BN07,10/11/2024 20:40
41.78131594,-124.813828,5.18504346,,10/12/2024 3:20
41.75230117,-124.8626767,5.185017212,,10/12/2024 10:00
41.72326573,-124.9114814,5.184990947,,10/12/2024 16:40
41.69420965,-124.9602419,5.184964668,,10/12/2024 23:20
41.66513299,-125.0089583,5.184938373,,10/13/2024 6:00
41.63603577,-125.0576308,5.184912063,,10/13/2024 12:40
41.60691804,-125.1062593,5.184885737,,10/13/2024 19:20
41.57777984,-125.1548439,5.184859396,,10/14/2024 2:00
41.5486212,-125.2033847,5.184833041,,10/14/2024 8:40
41.51944217,-125.2518817,5.18480667,,10/14/2024 15:20
41.49024278,-125.300335,5.184780285,,10/14/2024 22:00
41.46102308,-125.3487446,5.184753884,,10/15/2024 4:40
41.4317831,-125.3971106,5.184727469,,10/15/2024 11:20
41.40252289,-125.445433,5.184701039,,10/15/2024 18:00
41.37324247,-125.493712,5.184674594,,10/16/2024 0:40
41.3439419,-125.5419474,5.184648135,,10/16/2024 7:20
41.3146212,-125.5901395,5.184621661,,10/16/2024 14:00
41.28528042,-125.6382882,5.184595173,,10/16/2024 20:40
41.2559196,-125.6863936,5.184568671,,10/17/2024 3:20
41.22653878,-125.7344557,5.184542154,,10/17/2024 10:00
41.19713799,-125.7824747,5.184515623,,10/17/2024 16:40
41.16771727,-125.8304506,5.184489078,,10/17/2024 23:20
41.13827667,-125.8783833,5.184462518,BN08,10/18/2024 6:00
41.1238125,-125.8193708,5.209042849,,10/18/2024 12:40
