start,end,sp,id
10/01/2024 06:04:22,10/01/2024 06:15:30,UO,sg680_201
10/01/2024 06:49:28,10/01/2024 07:23:39,UO,sg680_202
10/01/2024 08:54:40,10/01/2024 09:05:18,UO,sg680_204
10/01/2024 10:09:00,10/01/2024 10:10:11,UO,sg680_205
10/01/2024 10:33:29,10/01/2024 11:00:44,Pm,sg680_206
10/02/2024 09:05:11,10/02/2024 09:09:32,UO,sg680_207
10/02/2024 12:18:02,10/02/2024 12:25:55,UO,sg680_208
10/02/2024 12:57:18,10/02/2024 14:17:13,Pm,sg680_209
10/02/2024 14:45:00,10/02/2024 17:44:53,Pm,sg680_212
10/03/2024 04:49:28,10/03/2024 05:22:55,UO,sg680_214
10/03/2024 07:20:09,10/03/2024 07:54:13,UO,sg680_215
10/03/2024 12:17:04,10/03/2024 12:50:22,Pm,sg680_216
10/03/2024 13:14:02,10/03/2024 13:16:53,Pm,sg680_218
10/03/2024 17:48:40,10/03/2024 18:19:21,Pm,sg680_219
10/03/2024 19:22:22,10/03/2024 19:46:31,Pm,sg680_220
10/03/2024 21:32:38,10/04/2024 02:34:43,Pm,sg680_222
10/04/2024 03:07:09,10/04/2024 03:07:34,Pm,sg680_229
10/04/2024 03:23:52,10/04/2024 03:24:22,Pm,sg680_230
10/04/2024 07:36:24,10/04/2024 08:16:26,UO,sg680_231
10/04/2024 16:26:26,10/04/2024 16:27:52,UO,sg680_233
10/04/2024 23:15:11,10/04/2024 23:43:54,UO,sg680_234
10/06/2024 05:45:46,10/06/2024 13:33:56,Pm,sg680_235
10/07/2024 13:41:49,10/07/2024 16:04:29,Pm,sg680_242
10/07/2024 16:56:07,10/07/2024 19:05:15,Pm,sg680_247
10/07/2024 19:39:52,10/07/2024 20:09:03,Pm,sg680_250
10/07/2024 23:27:14,10/08/2024 02:19:52,Pm,sg680_251
10/08/2024 03:10:20,10/08/2024 04:26:10,UO,sg680_253
10/08/2024 05:17:24,10/08/2024 06:34:12,Pm,sg680_258
10/09/2024 06:13:18,10/09/2024 06:34:59,UO,sg680_261
10/09/2024 08:14:49,10/09/2024 08:50:20,Pm,sg680_262
10/09/2024 10:49:59,10/09/2024 10:58:52,UO,sg680_264
10/09/2024 18:47:40,10/09/2024 18:56:05,Pm,sg680_265
10/09/2024 20:20:04,10/09/2024 23:09:08,Pm,sg680_266
10/09/2024 23:39:23,10/09/2024 23:41:50,Pm,sg680_271
10/10/2024 00:56:51,10/10/2024 00:57:56,Pm,sg680_272
10/10/2024 01:25:25,10/10/2024 01:26:15,Pm,sg680_273
10/10/2024 01:59:51,10/10/2024 02:03:41,Pm,sg680_274
10/10/2024 09:39:36,10/10/2024 09:56:42,UO,sg680_275
10/10/2024 22:49:12,10/10/2024 23:20:38,Pm,sg680_276
10/11/2024 01:54:47,10/11/2024 11:38:44,Pm,sg680_277
10/11/2024 12:50:31,10/11/2024 12:52:51,Pm,sg680_292
10/11/2024 15:01:40,10/11/2024 20:11:35,Pm,sg680_293
10/11/2024 20:28:38,10/11/2024 21:03:19,Pm,sg680_299
10/12/2024 00:04:36,10/12/2024 02:08:54,Pm,sg680_300
10/12/2024 02:47:19,10/12/2024 04:20:52,Pm,sg680_305
10/12/2024 21:54:29,10/12/2024 22:31:47,Pm,sg680_306
10/13/2024 02:56:55,10/13/2024 03:44:54,UO,sg680_308
10/13/2024 05:26:58,10/13/2024 06:05:33,UO,sg680_311
10/13/2024 06:58:27,10/13/2024 07:45:52,UO,sg680_313
10/13/2024 13:34:44,10/13/2024 13:44:38,UO,sg680_314
10/14/2024 01:04:19,10/14/2024 01:05:49,Pm,sg680_315
10/14/2024 08:53:39,10/14/2024 10:09:11,UO,sg680_316
10/14/2024 10:29:41,10/14/2024 11:37:05,UO,sg680_317
10/14/2024 12:14:23,10/14/2024 12:59:01,UO,sg680_320
10/15/2024 10:10:15,10/15/2024 10:52:45,UO,sg680_321
10/15/2024 11:31:20,10/18/2024 03:05:19,UO,sg680_323
10/18/2024 07:21:39,10/18/2024 07:35:43,UO,sg680_326
10/18/2024 18:44:02,10/18/2024 18:57:19,UO,sg680_327
10/18/2024 20:59:35,10/19/2024 05:08:14,Pm,sg680_328
10/19/2024 05:27:04,10/19/2024 09:28:24,Pm,sg680_337
10/19/2024 09:50:11,10/19/2024 13:16:47,Pm,sg680_341
10/19/2024 14:23:54,10/19/2024 14:47:19,Pm,sg680_346
10/19/2024 23:48:20,10/19/2024 23:55:14,Pm,sg680_349
10/20/2024 05:15:39,10/20/2024 05:20:45,Pm,sg680_350
10/20/2024 05:58:44,10/20/2024 06:12:22,Pm,sg680_352
10/20/2024 07:55:45,10/20/2024 10:54:06,Pm,sg680_354
10/20/2024 11:10:22,10/20/2024 11:11:02,Pm,sg680_360
10/20/2024 11:48:00,10/20/2024 13:07:56,Pm,sg680_361
10/20/2024 13:24:33,10/20/2024 14:12:58,Pm,sg680_364
10/20/2024 14:31:47,10/20/2024 15:09:33,Pm,sg680_366
10/20/2024 15:47:16,10/20/2024 15:49:22,Pm,sg680_368
10/20/2024 16:22:28,10/20/2024 16:26:20,Pm,sg680_369
10/21/2024 01:00:49,10/21/2024 01:27:37,UO,sg680_370
10/21/2024 02:33:44,10/21/2024 02:35:14,UO,sg680_371
