"","survey","eventId","numClicks","numClicks_d1","numClicks_d2","numClicks_d3","numClicks_d4","numClicks_d5","click_medPeakFreq_kHz","click_p25PeakFreq_kHz","click_p75PeakFreq_kHz","numWhistles","whistle_medBeginFreq_Hz","keep"
"1","sg680_CalCurCEAS_Sep2024","sg680_001",483,0,157,312,0,14,35.6,26.2,43.2,59,13964.84375,FALSE
"2","sg680_CalCurCEAS_Sep2024","sg680_003",4445,0,2028,2382,25,10,30.8,26.4,38.4,16,11279.296875,FALSE
"3","sg680_CalCurCEAS_Sep2024","sg680_005",142,0,27,112,2,1,39.6,32.8,41.2,2,8789.0625,FALSE
"4","sg680_CalCurCEAS_Sep2024","sg680_007",7669,11,2497,4779,204,178,36.4,26.8,42.8,31,11132.8125,FALSE
"5","sg680_CalCurCEAS_Sep2024","sg680_011",166,4,9,139,4,10,44.4,40.9,47.1,3,10839.84375,FALSE
"6","sg680_CalCurCEAS_Sep2024","sg680_014",150,123,4,14,0,9,8.4,7.2,10.4,6,4882.8125,FALSE
"7","sg680_CalCurCEAS_Sep2024","sg680_021",1,0,0,1,0,0,40.8,40.8,40.8,NA,NA,FALSE
"8","sg680_CalCurCEAS_Sep2024","sg680_023",57,0,0,56,1,0,42.4,40.4,43.2,5,11035.15625,FALSE
"9","sg680_CalCurCEAS_Sep2024","sg680_025",734,14,75,581,2,62,44.4,41.2,47.2,NA,NA,FALSE
"10","sg680_CalCurCEAS_Sep2024","sg680_026",18,16,0,1,0,1,8.2,7.2,9.1,NA,NA,FALSE
"11","sg680_CalCurCEAS_Sep2024","sg680_027",74,70,0,1,0,3,7.6,6.5,8.7,NA,NA,FALSE
"12","sg680_CalCurCEAS_Sep2024","sg680_028",5107,5,1558,3538,2,4,35.6,27.6,39.6,3,5753.96825396825,FALSE
"13","sg680_CalCurCEAS_Sep2024","sg680_030",77,73,1,3,0,0,8.8,7.2,10,6,11328.125,FALSE
"14","sg680_CalCurCEAS_Sep2024","sg680_032",42,11,5,23,0,3,40,13,46.2,29,11523.4375,FALSE
"15","sg680_CalCurCEAS_Sep2024","sg680_035",1313,0,140,1169,2,2,37.6,35.2,41.6,93,11328.125,FALSE
"16","sg680_CalCurCEAS_Sep2024","sg680_036",31786,1,3378,26171,1835,401,41.2,35.2,44.8,2637,11328.125,FALSE
"17","sg680_CalCurCEAS_Sep2024","sg680_039",11,0,10,1,0,0,26.8,25.4,27.6,6,11230.46875,FALSE
"18","sg680_CalCurCEAS_Sep2024","sg680_041",83,2,78,2,1,0,24,20.4,27,NA,NA,FALSE
"19","sg680_CalCurCEAS_Sep2024","sg680_042",57,0,11,46,0,0,34.8,30.8,41.2,4,11230.46875,FALSE
"20","sg680_CalCurCEAS_Sep2024","sg680_043",11,1,0,4,0,6,50.8,39.4,53.2,143,10253.90625,FALSE
"21","sg680_CalCurCEAS_Sep2024","sg680_044",6962,17,1837,5028,41,39,36,29.2,40,2243,12207.03125,FALSE
"22","sg680_CalCurCEAS_Sep2024","sg680_047",90,1,31,58,0,0,36.2,27.2,42,55,11523.4375,FALSE
"23","sg680_CalCurCEAS_Sep2024","sg680_048",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12744.140625,FALSE
"24","sg680_CalCurCEAS_Sep2024","sg680_049",39,6,15,16,0,2,29.2,22.4,40.8,5,11425.78125,FALSE
"25","sg680_CalCurCEAS_Sep2024","sg680_051",1,0,0,0,0,1,52.4,52.4,52.4,NA,NA,FALSE
"26","sg680_CalCurCEAS_Sep2024","sg680_052",56,3,0,50,0,3,44.8,42.3,46.8,NA,NA,FALSE
